Monster,Source,CR,Size,Type,Second Type,Elite,Legendary,NPC,Unique,AC,HP,STR,DEX,CON,INT,WIS,CHA,Proficiency Bonus,Maneuver DC,Variants,Base Creature
Aleas,Dungeon Delver's Guide,Varies,Varies,Celestial,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0
Tarrasque,Monstrous Menagerie,30,Titanic,Monstrosity,N/A,1,1,0,0,25,1230,30,12,30,4,14,14,9,27,0,0
Cthulhu,Mythological Figures & Maleficent Monsters ,30,Gargantuan,Aberration,N/A,0,1,1,1,24,585,27,19,28,28,30,27,9,25,0,0
Lucifer,Mythological Figures & Maleficent Monsters ,35,Huge,Fiend,N/A,0,1,1,1,24,290,30,27,26,27,25,31,10,28,0,0
Ancient Blue Dragon,Monstrous Menagerie,25,Gargantuan,Dragon,N/A,0,1,0,0,22,407,28,10,26,18,16,20,8,25,1,0
Ancient Gold Dragon,Monstrous Menagerie,26,Gargantuan,Dragon,N/A,0,1,0,0,22,487,30,14,28,18,16,28,8,26,1,0
Ancient Red Dragon,Monstrous Menagerie,26,Gargantuan,Dragon,N/A,0,1,0,0,22,448,30,10,28,18,16,22,8,26,1,0
Ancient Silver Dragon,Monstrous Menagerie,25,Gargantuan,Dragon,N/A,0,1,0,0,22,429,30,14,28,18,14,22,8,26,0,0
Blue Great Wyrm,Monstrous Menagerie,25,Gargantuan,Dragon,N/A,1,1,0,0,22,814,28,10,26,18,16,20,8,25,0,Ancient Blue Dragon
Gold Great Wyrm,Monstrous Menagerie,26,Gargantuan,Dragon,N/A,1,1,0,0,22,975,30,14,28,18,16,28,8,26,0,Ancient Gold Dragon
Red Great Wyrm,Monstrous Menagerie,26,Gargantuan,Dragon,N/A,1,1,0,0,22,897,30,10,28,18,16,22,8,26,0,Ancient Red Dragon
Ancient Black Dragon,Monstrous Menagerie,23,Gargantuan,Dragon,N/A,0,1,0,0,22,367,26,14,24,16,14,18,7,23,1,0
Ancient Earth Dragon,Monstrous Menagerie,24,Gargantuan,Dragon,N/A,0,1,0,0,22,425,26,14,26,16,22,14,7,23,0,0
Black Great Wyrm,Monstrous Menagerie,23,Gargantuan,Dragon,N/A,1,1,0,0,22,735,26,14,24,16,14,18,7,23,0,Ancient Black Dragon
